編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLTJLHOFFFP17CA,41,165.16,見其他登記事項,加強磚造,67年3月15日,二層,一層 二層
RPPOMLTKLHOFFDP17CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPQNMLOJLHOFFCP09CA,25,136.38,住家用,鋼筋混凝土造,82年8月20日,三層,一層 二層 三層
RPPOMLPJLHOFFAP98CA,24,88.47,住家用,鋼筋混凝土造,84年3月30日,九層,七層
RPPOMLPJLHOFFAP98CA,,12.61,共同部份,鋼筋混凝土造,,九層,
RPPOMLPJLHOFFAP98CA,24,12.15,共同部份,鋼筋混凝土造,84年3月30日,十五層,
RPQNMLQLLHOFFAP66CA,24,88.49,住家用,鋼筋混凝土造,83年12月9日,九層,五層
RPQNMLQLLHOFFAP66CA,24,16.85,共同部份,鋼筋混凝土造,83年12月9日,九層,
RPWNMLPJLHOFFAP96CA,24,82.31,住家用,鋼筋混凝土造,83年9月18日,十四層,五層
RPWNMLPJLHOFFAP96CA,24,32.49,共同部份,鋼筋混凝土造,83年9月18日,十四層,
RPTNMLPJLHOFFAP66CA,15,248.58,見其他登記事項,鋼筋混凝土造,92年8月4日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLSJLHOFFBP47CA,,186.42,住家用,鋼筋混凝土造,107年9月21日,三層,一層 二層 三層
RPRNMLMKLHOFFDP56CA,34,99.33,住家用,加強磚造,73年10月17日,二層,一層 二層
RPQOMLTKLHOFFDP27CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPROMLTKLHOFFDP37CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPSOMLTKLHOFFDP47CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPTOMLTKLHOFFDP57CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPUOMLTKLHOFFDP67CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPQNMLRLLHOFFAP76CA,15,1502.36,見其他登記事項,見其他登記事項,92年10月28日,三層,一層 二層 三層 電梯樓梯間
RPQNMLRLLHOFFAP76CA,16,1491.31,見其他登記事項,見其他登記事項,92年3月20日,一層,一層 夾層
RPPNMLRJLHOFFBP66DA,25,79.58,住家用,鋼筋混凝土造,82年12月15日,七層,六層
RPPNMLRJLHOFFBP66DA,25,10.81,共有部份,鋼筋混凝土造,82年12月15日,,
RPPNMLRJLHOFFBP66DA,25,26.03,共有部份,鋼筋混凝土造,82年12月15日,,
RPSNMLQJLHOFFEP07CA,38,106.47,住家用,加強磚造,70年5月20日,二層,一層 二層
RPSNMLSLLHOFFEP47CA,3,184.58,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層
